Status,Language,,Dictionaries,Sentence Translation,R-T-L,Parse as:,Character Substitutions,Split Sentences at,Split sentence exceptions,Word Characters,Sample Text (source),Extra Dictionaries,Alternate Names,Font,Scripts,ISO Code
Initial,Sanskrit (1),,"Combined Sanskrit Dictionary Search [TRM] [ENG] [E]
Sanskrit - Dictionary [TRM] [ENG] [E]
Wiktionary [TRM] [ENG] [E]
Wiktionary [TRM] [SAN] [E]
Sanskritdictionary [TRM] [ENG] [E]
Andhrabharati [TRM] [ENG] [P]
Monier Williams [TRM] [ENG] [P]
Glosbe [TRM] [ENG] [P]
Amara [TRM] [ENG] [E]
Sanscritdictionary.org [TRM] [ENG] [E]
Tatoeba [TRM] [ENG] [P]",Google Translate,FALSE,Space Delimited,´='|`='|’='|‘='|...=…|..=‥,.?!।॥,,u0900-\u0963\u0966-\u097F\U00011000-\U00011046\U00011052-\U0001107F\u0980-\u09FF\u0A80-\u0AFF,Sample text (Brahmi) | Sample text (Bengali and Gujarati),"Ambuda [TRM] [ENG] [SAN] [E]
Goldendict Dictionary 
University of Cologne Dictionaries
https://sanskritdocuments.org/dict/",,,"as-Beng, Bali, Beng, Bhks, Brah, Mymr, xwo-Mong, Deva, Gujr, Guru, Gran, Hani, Java, Kthi, Knda, Kawi, Khar, Khmr, Laoo, Mlym, mnc-Mong, Marc, Modi, Mong, Nand, Newa, Orya, Phag, Ranj, Saur, Shrd, Sidd, Sinh, Soyo, Lana, Takr, Taml, Tang, Telu, Thai, Tibt, Tutg, Tirh, Zanb",sa
Initial,Sanskrit (2),,"Combined Sanskrit Dictionary Search [TRM] [ENG] [E]
Sanskrit - Dictionary [TRM] [ENG] [E]
Wiktionary [TRM] [ENG] [E]
Wiktionary [TRM] [SAN] [E]
Sanskritdictionary [TRM] [ENG] [E]
Andhrabharati [TRM] [ENG] [P]
Monier Williams [TRM] [ENG] [P]
Glosbe [TRM] [ENG] [P]
Amara [TRM] [ENG] [E]
Sanscritdictionary.org [TRM] [ENG] [E]
Tatoeba [TRM] [ENG] [P]",Google Translate,FALSE,Space Delimited,´='|`='|’='|‘='|...=…|..=‥,.?!।॥,श.|ई.|स.|अ.|ए.|उ.|च.कि.मी.|मी.|ई.पू.|इ.|p.|ऐ.|ओ.|च.|B.|C.|आ.|ड.|वा.|S.,u0900-\u0963\u0966-\u097F\u0B00-\u0B7F\u0C80-\u0CFF,Sample text (Oriya and Kannada),"Ambuda [TRM] [ENG] [SAN] [E]
Goldendict Dictionary 
University of Cologne Dictionaries
https://sanskritdocuments.org/dict/",,,"as-Beng, Bali, Beng, Bhks, Brah, Mymr, xwo-Mong, Deva, Gujr, Guru, Gran, Hani, Java, Kthi, Knda, Kawi, Khar, Khmr, Laoo, Mlym, mnc-Mong, Marc, Modi, Mong, Nand, Newa, Orya, Phag, Ranj, Saur, Shrd, Sidd, Sinh, Soyo, Lana, Takr, Taml, Tang, Telu, Thai, Tibt, Tutg, Tirh, Zanb",sa
Initial,Sanskrit (3),,"Combined Sanskrit Dictionary Search [TRM] [ENG] [E]
Sanskrit - Dictionary [TRM] [ENG] [E]
Wiktionary [TRM] [ENG] [E]
Wiktionary [TRM] [SAN] [E]
Sanskritdictionary [TRM] [ENG] [E]
Andhrabharati [TRM] [ENG] [P]
Monier Williams [TRM] [ENG] [P]
Glosbe [TRM] [ENG] [P]
Amara [TRM] [ENG] [E]
Sanscritdictionary.org [TRM] [ENG] [E]
Tatoeba [TRM] [ENG] [P]",Google Translate,FALSE,Space Delimited,´='|`='|’='|‘='|...=…|..=‥,.?!।॥,श.|ई.|स.|अ.|ए.|उ.|च.कि.मी.|मी.|ई.पू.|इ.|p.|ऐ.|ओ.|च.|B.|C.|आ.|ड.|वा.|S.,u0900-\u0963\u0966-\u097F\u0C00-\u0C7F\u0D00-\u0D7F\u0A00-\u0A7F,"Sample text (Telugu, Malayam and Gurmukhi)","Ambuda [TRM] [ENG] [SAN] [E]
Goldendict Dictionary 
University of Cologne Dictionaries
https://sanskritdocuments.org/dict/",,,"as-Beng, Bali, Beng, Bhks, Brah, Mymr, xwo-Mong, Deva, Gujr, Guru, Gran, Hani, Java, Kthi, Knda, Kawi, Khar, Khmr, Laoo, Mlym, mnc-Mong, Marc, Modi, Mong, Nand, Newa, Orya, Phag, Ranj, Saur, Shrd, Sidd, Sinh, Soyo, Lana, Takr, Taml, Tang, Telu, Thai, Tibt, Tutg, Tirh, Zanb",sa
Initial,Saraiki,*,Wiktionary [TRM] [ENG] [E],-,TRUE,Space Delimited,´='|`='|’='|‘='|...=…|..=‥,.!?,Mr.|Mrs.|Dr.|[A-Z].|Vd.|Vds.,\u0620-\u065F\u066E-\u06D3\u0750-\u077F\u06FA-\u0FFF\uFE70-\uFEFF\u06DC,Wikipedia article,,"Siraiki, Seraiki",,"pa-Arab, Mult, Deva",skr
Initial,Sardinian,*,Wiktionary [TRM] [ENG] [E],-,FALSE,Space Delimited,´='|`='|’='|‘='|...=…|..=‥,.!?,Mr.|Mrs.|Dr.|[A-Z].|Vd.|Vds.,a-zA-ZÀ-ÖØ-öø-ȳáéíóúÁÉÍÓÚñÑ',UDHR | Wikipedia article,,,,Latn,sc
Initial,Saterland Frisian,*,Wiktionary [TRM] [ENG] [E],-,FALSE,Space Delimited,´='|`='|’='|‘='|...=…|..=‥,.!?,Mr.|Mrs.|Dr.|[A-Z].|Vd.|Vds.,a-zA-ZÀ-ÖØ-öø-ȳáéíóúÁÉÍÓÚñÑ',Wikipedia article,,"East Frisian, Eastern Frisian",,Latn,stq
Initial,Scots,*,"Wiktionary [TRM] [ENG] [E]
Wikipedia [TRM] [SCO] [E]
Glosbe [TRM] [ENG] [P]
Dictionars o the Scots Leid [TRM]",-,FALSE,Space Delimited,´='|`='|’='|‘='|...=…|..=‥,.!?,Mr.|Mrs.|Dr.|[A-Z].|Vd.|Vds.,a-zA-ZÀ-ÖØ-öø-ȳáéíóúÁÉÍÓÚñÑ',UDHR,,Lowland Scots,,Latn,sco
Initial,Scottish Gaelic,,"Multidict [TYPE]
Wiktionary [TRM] [ENG] [E]
Wiktionary [TRM] [GLA] [E]",Google Translate,FALSE,Space Delimited,´='|`='|’='|‘='|...=…|..=‥,.!?,Mr.|Mrs.|Dr.|Mgh.|Mgr.|Urr.|An t-Urr.|Oll.|a' Bh.|Bh-Ph.|a' Mh.|Mh.|Mh.U.|Bh-Uas.|,a-zA-ZàèìòùáéóÀÈÌÒÙÁÉÓ'-,UDHR | An Litir Bheag | Wikipedia article,,"Gaelic, Gàidhlig, Scots Gaelic, Scottish, Argyll Gaelic, Arran Scottish Gaelic, Canadian Gaelic, Canadian Scottish Gaelic, Cape Breton Gaelic, East Sutherland Gaelic, Galwegian Gaelic, Gallovidian Gaelic, Gallowegian Gaelic, Galloway Gaelic, Hebridean Gaelic, Highland Gaelic",,"Latn, Latg",gd
Initial,Sicilian,,"Wiktionary [TRM] [ENG] [E]
Wiktionary [TRM] [SCN] [E]",-,FALSE,Space Delimited,´='|`='|’='|‘='|...=…|..=‥,.!?,Mr.|Mrs.|Dr.|[A-Z].|Vd.|Vds.,a-zA-ZÀ-ÖØ-öø-ȳáéíóúÁÉÍÓÚñÑ',Wikipedia article 1 | Wikipedia article 2,,,,Latn,scn
Initial,Silesian,,Wiktionary [TRM] [ENG] [E],-,FALSE,Space Delimited,´='|`='|’='|‘='|...=…|..=‥,.!?,Mr.|Mrs.|Dr.|[A-Z].|Vd.|Vds.,a-zA-ZÀ-ÖØ-öø-ȳáéíóúÁÉÍÓÚñÑ',Wikipedia article,,"Upper Silesian, Silesian Polish, Upper Silesian Polish",,Latn,szl
Initial,Sindhi,*,"Wiktionary [TRM] [ENG] [E]
Wiktionary [TRM] [SND] [E]",Google Translate,TRUE,Space Delimited,´='|`='|’='|‘='|...=…|..=‥,.!?؟۔‎,Mr.|Mrs.|Dr.|[A-Z].|Vd.|Vds.,\u0900-\u0963\U00011200-\U00011237\U0000001123E-\U00011241\u0971-\u097F\u0600-\u066F\u066E-\u06D3\uFB50-\uFDFF\U000112B0-\U000112EA\u06FE\u0A01-\u0A5E\u0A01-\u0A76,Wikipedia article (Arabic),,,,"sd-Arab, Deva, Sind, Khoj",sd
Initial,Sinhalese,*,"Madura Online [TRM]
Wiktionary [TRM] [ENG] [E]
Wiktionary [TRM] [SIN] [E]
A Sinhalese Dictionary [TRM]",Google Translate,FALSE,Space Delimited,´='|`='|’='|‘='|...=…|..=‥,.!?,Mr.|Mrs.|Dr.|[A-Z].|Vd.|Vds.,\u0D81-\u0DDF\u0DF2-\u0DF4\u0DE6-\u0DEF\u200D,Wikipedia article | News article,,"Singhalese, Sinhala",,Sinh,si
